"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"2124",12676,39637.828,32193.158,54,0,4,2,0,1,2014
"2637",13159,31159.893,35345.551,74,0,2,0,1,0,2020
"9844",57870,21586.754,23364.486,35,0,4,2,0,1,2013
"9611",56588,23904.754,3720.5842,74,0,2,0,0,0,2020
"13437",82179,1648.4552,33911.078,75,0,2,0,0,0,2019
"4264",18669,43020.109,44663.574,73,0,2,0,0,0,2018
"5606",28588,28738.025,26551.438,60,0,4,2,0,1,2012
"13499",82682,13744.273,12494.794,78,1,1,0,0,0,2012
"7946",44601,9958.1338,9118.8193,31,1,1,0,1,0,2016
"3236",13657,39515.824,41253.77,60,0,1,0,0,1,2019
"8553",48944,4572.2715,4424.7788,31,1,3,1,0,1,2017
"12448",75330,25955.734,32193.158,30,0,4,2,0,1,2014
"2522",13048,39259.473,39636.504,70,0,2,0,0,0,2018
"6111",31742,27531.957,31465.094,63,1,2,0,0,0,2017
"2454",12966,33607.168,34140.617,47,1,4,2,0,0,2011
"5682",29009,94.197441,30143.18,56,1,2,0,0,1,2019
"5479",27578,39155.02,34140.617,66,1,2,0,0,0,2011
"1252",10492,70245.836,63490.449,67,1,2,0,1,0,2013
"6466",34132,95753.758,120025.6,36,1,2,0,0,1,2011
"13481",82452,17426.525,27317.258,65,0,2,0,0,1,2019
"1022",9421,1495.2153,1484.2504,78,1,1,0,0,0,2016
"4908",23280,22815.158,14017.788,25,1,1,0,1,1,2018
"5123",24649,48475.91,45231.07,48,0,2,0,0,1,2017
"1277",10615,15619.332,16003.414,58,1,2,0,0,0,2011
"12212",74077,50395.629,47098.719,34,1,2,0,1,1,2019
"13544",82905,27304.717,22235.111,43,0,6,4,0,1,2018
"13363",81692,32507.111,44697.277,34,0,1,0,0,1,2013
"5440",27217,0,8888.6631,40,1,1,0,0,0,2013
"2861",13320,56738.906,59431.68,52,0,4,2,1,1,2020
"8741",50390,62319.785,58134.129,41,0,4,2,0,1,2020
"1714",12063,49077.137,46943.348,40,0,4,2,0,1,2011
"7317",39491,19204.098,34140.617,42,0,1,0,0,1,2011
"12145",73603,64525.246,61228.336,35,0,2,0,0,1,2019
"6267",32785,32595.693,31897.926,72,1,1,0,0,0,2016
"4276",18814,22984.176,22136.398,39,0,1,0,0,1,2019
"4622",21342,30000,2500,64,0,2,0,0,0,2015
"9016",52128,42321.645,40926.426,45,1,4,2,0,1,2020
"2038",12522,39303.129,41141.813,73,1,2,0,0,0,2013
"6260",32773,16599.598,18108.652,36,1,3,2,0,0,2014
"9640",56795,13013.078,14587.525,64,0,2,0,0,0,2014
"2792",13251,71539.055,64771.848,48,0,3,1,0,1,2018
"10632",63040,17672.775,13487.117,62,1,2,0,0,1,2020
"5328",26216,31159.893,29764.674,73,0,2,0,0,0,2020
